isolate,estimate,std.error,df,conf.low,conf.high,agg_parameter,species
16PR009.1,12.15406084656065,2.7692929152843417,9.696237638714004,5.957388935910853,18.350732757210448,Root dry weigth,Phytophthora sojae
16PR009.2,12.770582010581858,2.7692929152843484,9.696237638713354,6.573910099931988,18.96725392123173,Root dry weigth,Phytophthora sojae
16PR027C.1,22.095410052909898,2.7692929152843493,9.696237638713377,15.898738142260026,28.29208196355977,Root dry weigth,Phytophthora sojae
16PR027C.2,20.259126984126834,2.769292915284349,9.696237638713363,14.062455073476961,26.455798894776706,Root dry weigth,Phytophthora sojae
17PR009A.1,15.727208994708842,2.769292915284347,9.69623763871338,9.530537084058977,21.923880905358708,Root dry weigth,Phytophthora sojae
17PR009A.2,15.601278659611841,2.769292915284349,9.696237638713368,9.404606748961971,21.797950570261712,Root dry weigth,Phytophthora sojae
17PR013G.3,24.96481481481466,2.769292915284349,9.696237638713368,18.768142904164787,31.16148672546453,Root dry weigth,Phytophthora sojae
17PR018F.1,15.07605820105805,2.7692929152843493,9.696237638713384,8.879386290408178,21.272730111707922,Root dry weigth,Phytophthora sojae
17PR018F.2,17.480048500881683,2.7692929152843484,9.696237638713354,11.283376590231812,23.676720411531555,Root dry weigth,Phytophthora sojae
17PR018H.1,16.754034391534237,2.769292915284348,9.696237638713354,10.557362480884368,22.950706302184106,Root dry weigth,Phytophthora sojae
17PR018J.3,17.927195767195617,2.769292915284349,9.69623763871337,11.730523856545744,24.12386767784549,Root dry weigth,Phytophthora sojae
18PR001,20.86801587301572,2.769292915284349,9.696237638713377,14.671343962365851,27.06468778366559,Root dry weigth,Phytophthora sojae
18PR006,15.893209876543057,2.769292915284349,9.696237638713345,9.696537965893185,22.08988178719293,Root dry weigth,Phytophthora sojae
18PR007,14.329576719576567,2.7692929152843484,9.696237638713363,8.132904808926696,20.526248630226437,Root dry weigth,Phytophthora sojae
18PR008,13.26100529100514,2.7692929152843493,9.696237638713377,7.0643333803552695,19.457677201655013,Root dry weigth,Phytophthora sojae
18PR009,10.868796296296146,2.769292915284348,9.696237638713363,4.672124385646277,17.065468206946015,Root dry weigth,Phytophthora sojae
18PR010,9.661706349206197,2.7692929152843497,9.69623763871336,3.4650344385563248,15.85837825985607,Root dry weigth,Phytophthora sojae
18PR011,13.700648148148,2.7692929152843506,9.696237638713363,7.503976237498124,19.897320058797874,Root dry weigth,Phytophthora sojae
18PR012,13.934700176366691,2.7692929152843493,9.696237638713367,7.73802826571682,20.131372087016562,Root dry weigth,Phytophthora sojae
18PR013,14.155343915343767,2.7692929152843497,9.696237638713376,7.958672004693895,20.35201582599364,Root dry weigth,Phytophthora sojae
18PR014,16.17932098765417,2.769292915284349,9.69623763871336,9.982649077004298,22.37599289830404,Root dry weigth,Phytophthora sojae
18PR015,18.277182539682393,2.769292915284349,9.696237638713384,12.080510629032522,24.47385445033226,Root dry weigth,Phytophthora sojae
18PR016,14.035185185185034,2.7692929152843484,9.696237638713376,7.838513274535164,20.231857095834904,Root dry weigth,Phytophthora sojae
18PR017,9.318412698412548,2.769292915284349,9.696237638713363,3.1217407877626764,15.51508460906242,Root dry weigth,Phytophthora sojae
Control Agar,33.94999999999985,2.769292915284349,9.696237638713363,27.753328089349974,40.146671910649715,Root dry weigth,Control Agar
Control None,28.306349206349058,2.769292915284348,9.69623763871337,22.10967729569919,34.50302111699893,Root dry weigth,Control None
16PR009.1,43.87944444444511,8.094287258668853,7.033987330412279,24.758228267570253,63.00066062131997,Shoot dry weigth,Phytophthora sojae
16PR009.2,47.17085978836006,8.094287258668773,7.033987330411855,28.049643611485163,66.29207596523496,Shoot dry weigth,Phytophthora sojae
